Trajectories
100
,,movedBox:segment11,,,movedBox:segment12,,,movedBox:segment22,,,movedBox:segment32,,,movedBox:segment52,,,movedBox:segment62,,,movedBox:segment72,,,movedBox:segment82,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
34,0,-60.6877,1575.71,1377.28,-51.2344,1404.53,1375.73,68.5522,1407.68,1376.41,57.8619,1588.09,1378.18,-81.4066,1577.66,1215.12,-71.3912,1405.5,1216.93,89.8415,1413.08,1215.38,78.6631,1585.91,1216.17
35,0,-60.6214,1575.41,1377.19,-51.1079,1404.27,1375.6,68.6986,1407.44,1376.31,57.9169,1587.87,1378.17,-81.3188,1577.49,1215.1,-71.1977,1405.29,1216.8,90.1656,1413,1215.37,78.759,1585.78,1216.17
36,0,-60.5901,1575.17,1377.13,-50.9312,1404,1375.43,68.859,1407.27,1376.23,57.9568,1587.67,1378.17,-81.2341,1577.31,1215.06,-71.0153,1405.13,1216.71,89.6894,1412.69,1215.01,78.8507,1585.72,1216.17
37,0,-60.5388,1575.03,1377.15,-50.7532,1403.87,1375.42,69.0388,1407.16,1376.18,58.0052,1587.56,1378.18,-81.1312,1577.16,1215.01,-70.8254,1405.01,1216.66,89.9013,1412.63,1214.98,78.9154,1585.63,1216.12
38,0,-60.4364,1574.91,1377.1,-50.5648,1403.69,1375.3,69.2087,1407.1,1376.18,58.0973,1587.47,1378.13,-81.0396,1577.01,1214.94,-70.6255,1404.9,1216.62,90.5519,1412.7,1215.12,79.0395,1585.57,1216.09
39,0,-60.3145,1574.83,1377,-50.3865,1403.67,1375.34,69.3831,1407.09,1376.16,58.2307,1587.49,1378.12,-80.9111,1576.92,1214.91,-70.4816,1404.81,1216.64,90.7611,1412.65,1215.15,79.148,1585.52,1216.08
40,0,-60.1666,1574.83,1376.91,-50.2388,1403.71,1375.4,69.5386,1407.1,1376.19,58.4203,1587.47,1377.96,-80.766,1576.86,1214.86,-70.382,1404.76,1216.68,90.7797,1412.46,1215.07,79.2753,1585.43,1215.95
41,0,-59.9682,1574.89,1376.82,-50.0728,1403.81,1375.48,69.7026,1407.17,1376.23,58.6313,1587.55,1377.83,-80.6107,1576.81,1214.79,-70.3136,1404.72,1216.74,90.7941,1412.38,1215.08,79.4209,1585.37,1215.83
42,0,-59.7551,1575.06,1376.74,-49.926,1403.94,1375.56,69.8537,1407.26,1376.25,58.8475,1587.66,1377.67,-80.4509,1576.76,1214.67,-70.2582,1404.68,1216.83,90.4949,1412.18,1214.95,79.5457,1585.32,1215.7
43,0,-59.563,1575.27,1376.64,-49.79,1404.1,1375.61,69.9985,1407.41,1376.29,58.9966,1587.79,1377.48,-80.3263,1576.73,1214.57,-70.2031,1404.69,1216.92,90.5872,1412.15,1215,79.6595,1585.26,1215.51
44,0,-59.3847,1575.46,1376.48,-49.6411,1404.29,1375.66,70.1302,1407.58,1376.32,59.1523,1588,1377.33,-80.2286,1576.73,1214.43,-70.1789,1404.7,1217.04,90.6204,1412.13,1215,79.7285,1585.2,1215.29
45,0,-59.2982,1575.75,1376.42,-49.551,1404.49,1375.73,70.2279,1407.83,1376.38,59.2494,1588.25,1377.14,-80.1745,1576.77,1214.33,-70.0778,1404.71,1217.09,90.6553,1412.12,1215.03,79.812,1585.23,1215.16
46,0,-59.2329,1575.98,1376.2,-49.4971,1404.74,1375.83,70.3015,1408.08,1376.44,59.2705,1588.52,1376.97,-80.1108,1576.76,1214.13,-70.0184,1404.73,1217.16,90.7451,1412.21,1215.11,79.8396,1585.27,1214.99
47,0,-59.2209,1576.29,1376.06,-49.4744,1404.97,1375.85,70.3435,1408.36,1376.52,59.2642,1588.83,1376.82,-80.0872,1576.77,1213.95,-70.0168,1404.82,1217.24,90.7899,1412.24,1215.17,79.8862,1585.28,1214.81
48,0,-59.2645,1576.55,1375.84,-49.4915,1405.23,1375.88,70.2715,1408.65,1376.66,59.2343,1589.11,1376.65,-80.039,1576.8,1213.7,-69.9053,1404.88,1217.27,90.9152,1412.37,1215.36,79.9626,1585.35,1214.7
49,0,-59.331,1576.83,1375.66,-49.5525,1405.51,1375.95,70.2219,1408.92,1376.78,59.2071,1589.35,1376.52,-79.9189,1576.87,1213.49,-69.8453,1404.94,1217.27,90.993,1412.41,1215.49,80.0719,1585.35,1214.54
50,0,-59.346,1577.1,1375.47,-49.6333,1405.76,1375.93,70.0795,1409.12,1376.87,59.1961,1589.56,1376.41,-79.7713,1576.96,1213.24,-69.8494,1405.06,1217.3,91.1972,1412.46,1215.69,80.2369,1585.4,1214.47
51,0,-59.3187,1577.34,1375.27,-49.7468,1406.01,1375.94,69.9728,1409.26,1376.98,59.2344,1589.71,1376.29,-79.5015,1576.97,1212.98,-69.7858,1405.09,1217.27,91.0463,1412.34,1215.7,80.3392,1585.2,1214.16
52,0,-59.2207,1577.59,1375.13,-49.865,1406.24,1376.01,69.8689,1409.37,1377.09,59.3518,1589.77,1376.16,-79.4427,1577.12,1212.86,-69.8592,1405.18,1217.33,90.997,1412.2,1215.77,80.5227,1585.04,1214.04
53,0,-59.0594,1577.81,1375.04,-49.8626,1406.44,1376.14,69.8531,1409.48,1377.27,59.5116,1589.85,1376.03,-79.2221,1577.1,1212.79,-69.8493,1405.18,1217.44,90.9989,1412.05,1215.95,80.7781,1585.04,1214.17
54,0,-58.8467,1578.02,1375.04,-49.8165,1406.66,1376.38,69.9204,1409.56,1377.43,59.7725,1589.94,1375.94,-79.145,1577.13,1212.79,-69.8388,1405.13,1217.61,90.9734,1411.87,1216.06,80.9347,1584.91,1214.08
55,0,-58.5636,1578.21,1375.08,-49.7266,1406.82,1376.52,70.0268,1409.59,1377.47,60.0962,1589.97,1375.85,-78.8626,1577.13,1212.75,-69.8868,1405.18,1217.75,90.9555,1411.72,1216.12,81.1374,1584.85,1214
56,0,-58.2334,1578.4,1375.01,-49.6145,1406.98,1376.58,70.1242,1409.6,1377.47,60.4009,1590.01,1375.7,-78.6188,1577.16,1212.67,-69.8651,1405.23,1217.81,90.9598,1411.57,1216.1,81.3618,1584.74,1213.85
57,0,-57.9086,1578.56,1374.95,-49.4664,1407.11,1376.64,70.2709,1409.64,1377.45,60.6803,1590.09,1375.57,-78.3922,1577.17,1212.56,-69.7772,1405.24,1217.85,91.0747,1411.55,1216.14,81.5854,1584.67,1213.75
58,0,-57.6525,1578.65,1374.87,-49.2466,1407.15,1376.64,70.4594,1409.67,1377.43,60.979,1590.12,1375.4,-78.3084,1577.25,1212.62,-69.6925,1405.21,1217.97,91.1521,1411.45,1216.12,81.7476,1584.54,1213.57
59,0,-57.3672,1578.68,1374.85,-48.9706,1407.22,1376.8,70.7621,1409.72,1377.44,61.2918,1590.2,1375.31,-78.1672,1577.16,1212.59,-69.5924,1405.19,1218.07,91.2764,1411.34,1216.03,81.8992,1584.55,1213.55
60,0,-57.1272,1578.65,1374.85,-48.6516,1407.23,1376.9,71.0963,1409.78,1377.5,61.5564,1590.22,1375.23,-78.0728,1577.13,1212.71,-69.4485,1405.16,1218.25,91.4282,1411.38,1216.02,82.042,1584.56,1213.52
61,0,-56.8897,1578.6,1374.9,-48.3352,1407.23,1377.02,71.4849,1409.79,1377.5,61.8149,1590.24,1375.21,-77.9504,1577.04,1212.74,-69.4448,1405.14,1218.38,91.5702,1411.32,1215.97,82.1516,1584.55,1213.43
62,0,-56.6298,1578.56,1374.98,-48.0427,1407.16,1377.04,71.8504,1409.76,1377.48,61.9943,1590.22,1375.19,-77.8157,1576.94,1212.8,-69.2573,1405.1,1218.48,91.8211,1411.4,1216,82.2882,1584.58,1213.43
63,0,-56.3948,1578.49,1375.06,-47.7425,1407.11,1377.09,72.1392,1409.73,1377.46,62.2508,1590.2,1375.21,-77.6674,1576.88,1212.87,-69.0168,1405.07,1218.57,92.0064,1411.43,1215.97,82.4329,1584.55,1213.38
64,0,-56.1366,1578.4,1375.15,-47.4692,1407.1,1377.19,72.3877,1409.64,1377.38,62.5077,1590.11,1375.2,-77.5273,1576.74,1212.75,-68.7626,1405,1218.58,92.1943,1411.41,1215.9,82.6013,1584.54,1213.43
65,0,-55.869,1578.28,1375.26,-47.2398,1406.98,1377.15,72.6103,1409.53,1377.28,62.7617,1590.01,1375.27,-77.3932,1576.89,1213.09,-68.6526,1405.03,1218.65,92.2972,1411.33,1215.77,82.7879,1584.53,1213.46
66,0,-55.6235,1578.17,1375.38,-47.0353,1406.9,1377.17,72.8254,1409.42,1377.22,63.027,1589.85,1375.33,-77.2159,1576.86,1213.16,-68.4559,1405.02,1218.58,92.4591,1411.32,1215.7,82.9763,1584.56,1213.57
67,0,-55.3966,1578.06,1375.51,-46.8435,1406.75,1377.13,73.0446,1409.34,1377.19,63.2894,1589.7,1375.41,-77.0833,1576.91,1213.36,-68.3811,1405.05,1218.61,92.5921,1411.28,1215.54,83.1052,1584.54,1213.59
68,0,-55.1711,1577.94,1375.73,-46.6278,1406.61,1377.12,73.2693,1409.23,1377.14,63.4842,1589.56,1375.48,-76.9613,1576.9,1213.51,-68.1489,1404.96,1218.55,92.7598,1411.3,1215.5,83.2245,1584.57,1213.7
69,0,-54.9869,1577.77,1375.88,-46.415,1406.49,1377.17,73.4669,1409.11,1377.14,63.6412,1589.44,1375.59,-76.8697,1576.89,1213.75,-69.1241,1405.39,1219.14,92.9229,1411.29,1215.46,83.2925,1584.56,1213.79
70,0,-54.8582,1577.6,1376.02,-46.2224,1406.31,1377.16,73.6129,1408.99,1377.14,63.7623,1589.31,1375.69,-76.7647,1576.84,1213.92,-67.9299,1404.87,1218.66,92.9773,1411.24,1215.38,83.3405,1584.5,1213.84
71,0,-54.741,1577.46,1376.16,-46.1093,1406.17,1377.18,73.7044,1408.84,1377.14,63.8848,1589.17,1375.81,-76.6905,1576.82,1214.09,-67.7394,1404.79,1218.79,93.0974,1411.21,1215.43,83.4612,1584.51,1214.01
72,0,-54.6653,1577.35,1376.26,-46.1036,1406.02,1377.2,73.7262,1408.66,1377.14,63.9456,1589,1375.91,-76.5998,1576.82,1214.22,-67.8271,1404.78,1218.71,93.0935,1411.09,1215.43,83.5678,1584.42,1214.11
73,0,-54.6066,1577.22,1376.33,-46.1417,1405.91,1377.21,73.678,1408.48,1377.17,64.0033,1588.82,1376.08,-76.5057,1576.81,1214.28,-67.827,1404.78,1218.7,93.0911,1410.96,1215.43,83.6491,1584.28,1214.2
74,0,-54.611,1577.07,1376.39,-46.2539,1405.75,1377.17,73.5818,1408.24,1377.21,64.0034,1588.63,1376.29,-76.4077,1576.78,1214.33,-67.8417,1404.76,1218.64,93.1254,1410.88,1215.49,83.739,1584.19,1214.42
75,0,-54.6258,1576.94,1376.45,-46.3892,1405.59,1377.14,73.4497,1407.96,1377.23,63.9706,1588.39,1376.45,-76.3233,1576.79,1214.45,-67.7896,1404.72,1218.59,93.102,1410.77,1215.55,83.8218,1584.1,1214.66
76,0,-54.709,1576.77,1376.56,-46.5376,1405.41,1377.08,73.2995,1407.71,1377.28,63.9007,1588.21,1376.68,-76.2934,1576.82,1214.56,-68.9626,1405.24,1219.12,93.0638,1410.66,1215.63,83.8638,1583.96,1214.85
77,0,-54.8012,1576.62,1376.71,-46.6809,1405.17,1376.98,73.1534,1407.53,1377.36,63.8393,1588,1376.88,-76.2379,1576.79,1214.65,-67.7292,1404.68,1218.59,93.0871,1410.6,1215.76,83.8784,1583.84,1215.03
78,0,-54.9153,1576.43,1376.82,-46.8223,1404.99,1376.97,73.0164,1407.28,1377.36,63.7241,1587.8,1377.09,-76.2218,1576.78,1214.75,-67.6974,1404.6,1218.51,93.1093,1410.58,1215.91,83.9136,1583.78,1215.23
79,0,-55.0485,1576.22,1376.96,-46.9223,1404.79,1376.98,72.9124,1407.14,1377.51,63.5994,1587.61,1377.34,-76.233,1576.73,1214.89,-67.6329,1404.54,1218.4,93.0784,1410.51,1215.97,83.9627,1583.81,1215.53
80,0,-55.2009,1576.03,1377.13,-47.0381,1404.61,1377,72.8059,1407,1377.61,63.4491,1587.44,1377.61,-76.261,1576.67,1215.02,-67.8172,1404.54,1218.41,93.0743,1410.46,1216.09,83.9386,1583.75,1215.73
81,0,-55.374,1575.83,1377.28,-47.17,1404.45,1377.02,72.6927,1406.81,1377.67,63.2738,1587.23,1377.79,-76.2995,1576.6,1215.12,-67.8884,1404.52,1218.43,93.0393,1410.4,1216.18,83.9131,1583.78,1216.04
82,0,-55.5507,1575.63,1377.41,-47.2561,1404.27,1377.01,72.5765,1406.67,1377.77,63.1051,1587.08,1378.04,-76.3333,1576.52,1215.21,-67.864,1404.42,1218.39,93.0549,1410.36,1216.3,83.8482,1583.69,1216.17
83,0,-55.677,1575.48,1377.52,-47.3701,1404.1,1377,72.4562,1406.49,1377.83,62.9524,1586.89,1378.22,-76.371,1576.43,1215.3,-67.9491,1404.39,1218.44,93.0717,1410.3,1216.42,83.8279,1583.66,1216.39
84,0,-55.8194,1575.32,1377.6,-47.4794,1403.94,1377,72.3513,1406.34,1377.93,62.8017,1586.78,1378.4,-76.412,1576.35,1215.37,-69.9177,1405.51,1219.83,93.0644,1410.19,1216.45,83.8159,1583.65,1216.67
85,0,-55.9268,1575.19,1377.67,-47.604,1403.79,1377.01,72.2308,1406.19,1378.04,62.6859,1586.66,1378.54,-76.4244,1576.29,1215.47,-67.8282,1404.13,1218.39,93.0613,1410.13,1216.6,83.7818,1583.56,1216.85
86,0,-56.0189,1575.04,1377.71,-47.6917,1403.69,1377.06,72.1342,1406.06,1378.15,62.6632,1586.56,1378.74,-76.4039,1576.21,1215.53,-67.4287,1403.87,1218.39,93.0282,1410.04,1216.75,83.7557,1583.45,1217.02
87,0,-56.0568,1574.99,1377.81,-47.7782,1403.6,1377.1,72.0512,1405.94,1378.25,62.5727,1586.44,1378.82,-76.3904,1576.16,1215.58,-67.7697,1403.96,1218.52,93.0291,1409.92,1216.83,83.7918,1583.33,1217.15
88,0,-56.072,1574.9,1377.82,-47.8593,1403.5,1377.12,71.9586,1405.79,1378.31,62.5818,1586.31,1378.93,-76.3355,1576.12,1215.66,-67.6659,1403.81,1218.44,93.016,1409.79,1216.94,83.8606,1583.22,1217.24
89,0,-56.0448,1574.84,1377.87,-47.9346,1403.32,1377,71.8834,1405.69,1378.41,62.6289,1586.17,1379,-76.3015,1576.07,1215.68,-67.8517,1403.83,1218.62,92.9646,1409.67,1216.99,83.8717,1583.08,1217.3
90,0,-55.993,1574.81,1377.93,-47.9864,1403.37,1377.2,71.8442,1405.56,1378.45,62.6656,1586.05,1379.03,-76.2456,1576,1215.7,-67.733,1403.72,1218.54,92.9584,1409.57,1217.05,83.9597,1582.96,1217.33
91,0,-55.9587,1574.76,1377.99,-47.9999,1403.21,1377.11,71.8311,1405.48,1378.48,62.708,1585.97,1379.07,-76.2327,1576,1215.78,-68.0392,1403.77,1218.64,92.8965,1409.47,1217.07,83.9558,1582.85,1217.36
92,0,-55.9465,1574.7,1378.02,-47.9982,1403.16,1377.16,71.8325,1405.46,1378.55,62.7054,1585.94,1379.13,-76.236,1575.93,1215.8,-68.0706,1403.74,1218.73,92.9021,1409.41,1217.13,83.9666,1582.79,1217.38
