Trajectories
100
,,box:segment11,,,box:segment12,,,box:segment13,,,box:segment14,,,box:segment23,,,box:segment24,,,box:segment33,,,box:segment43,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
35,0,111.2,-68.5907,199.768,-70.0145,-69.495,198.91,-66.2811,50.3808,199.725,105.333,50.5125,200.799,-65.0714,71.0109,39.2695,108.509,71.5325,36.7756,-67.6898,-87.5368,36.1966,106.4,-85.6629,35.7481
36,0,111.198,-68.5816,199.777,-70.0191,-69.4916,198.917,-66.2918,50.3866,199.732,105.317,50.5031,200.785,-65.0761,71.0769,39.3296,108.513,71.4965,36.7302,-67.6931,-87.5603,36.2271,106.434,-85.6866,35.8104
37,0,111.188,-68.5919,199.768,-70.0271,-69.4904,198.899,-66.3005,50.3862,199.727,105.307,50.4942,200.797,-65.0705,71.0047,39.2277,108.537,71.5149,36.7305,-67.686,-87.5187,36.1955,106.399,-85.6817,35.8017
38,0,111.187,-68.5894,199.77,-70.004,-69.4807,198.908,-66.281,50.3694,199.731,105.326,50.5053,200.8,-65.0763,71.0125,39.2929,108.516,71.532,36.7487,-67.7023,-87.5381,36.1977,106.416,-85.6365,35.7302
39,0,111.194,-68.5862,199.749,-70.02,-69.5087,198.908,-66.291,50.3892,199.727,105.315,50.5241,200.801,-65.0916,71.032,39.2745,108.518,71.5347,36.7666,-67.684,-87.528,36.1927,106.401,-85.5961,35.671
40,0,111.18,-68.5878,199.745,-70.0188,-69.5111,198.914,-66.2942,50.3627,199.713,105.319,50.5161,200.789,-65.0629,71.0734,39.3175,108.54,71.5008,36.7306,-67.6844,-87.5127,36.2058,106.419,-85.6306,35.7398
41,0,111.194,-68.5906,199.753,-70.0201,-69.5052,198.912,-66.3018,50.3719,199.711,105.328,50.5169,200.791,-65.0925,71.053,39.3107,108.536,71.574,36.8094,-67.6953,-87.5602,36.2112,106.417,-85.6645,35.7575
42,0,111.203,-68.5958,199.756,-70.0006,-69.4958,198.911,-66.2854,50.3861,199.73,105.321,50.4931,200.792,-65.0633,70.9846,39.2682,108.522,71.5411,36.7676,-67.6998,-87.5551,36.2232,106.408,-85.6519,35.7434
43,0,111.213,-68.5815,199.759,-70.0182,-69.5056,198.908,-66.2809,50.374,199.733,105.322,50.503,200.783,-65.0697,71.0625,39.3037,108.524,71.5608,36.7732,-67.6996,-87.5105,36.1708,106.413,-85.6556,35.7758
44,0,111.192,-68.6013,199.782,-70.0209,-69.5043,198.918,-66.2859,50.3791,199.729,105.325,50.5128,200.802,-65.0722,71.0666,39.3151,108.522,71.4778,36.696,-67.6881,-87.5067,36.1648,106.406,-85.6345,35.7151
45,0,111.198,-68.6086,199.761,-70.0272,-69.4969,198.927,-66.2959,50.3698,199.724,105.327,50.4989,200.79,-65.0839,71.0542,39.2796,108.537,71.5548,36.7891,-67.7071,-87.5181,36.1833,106.394,-85.6766,35.7606
46,0,111.181,-68.5698,199.764,-70.0183,-69.4936,198.906,-66.2985,50.3787,199.703,105.309,50.4997,200.806,-65.0766,71.0359,39.3014,108.539,71.4975,36.7111,-67.6776,-87.5388,36.2126,106.398,-85.613,35.7152
47,0,111.197,-68.6038,199.766,-70.0222,-69.4928,198.909,-66.2899,50.3731,199.72,105.32,50.5124,200.786,-65.0896,71.0333,39.2946,108.535,71.5423,36.7673,-67.7012,-87.5392,36.1937,106.431,-85.6048,35.7163
48,0,111.206,-68.5949,199.769,-70.0097,-69.5141,198.933,-66.2965,50.3721,199.728,105.327,50.5092,200.798,-65.0902,71.0229,39.3024,108.535,71.5512,36.7764,-67.6938,-87.5436,36.21,106.391,-85.6161,35.7186
49,0,111.195,-68.5828,199.755,-70.0137,-69.5114,198.919,-66.2872,50.3859,199.716,105.329,50.5127,200.795,-65.0718,71.0232,39.2811,108.524,71.5904,36.806,-67.6827,-87.4901,36.1832,106.386,-85.6371,35.7359
50,0,111.193,-68.6094,199.779,-70.0136,-69.4964,198.916,-66.2897,50.3717,199.733,105.322,50.4914,200.809,-65.0899,71.0272,39.2552,108.514,71.5358,36.7489,-67.6903,-87.5618,36.2012,106.407,-85.6666,35.7482
51,0,111.186,-68.5915,199.758,-70.0196,-69.5011,198.925,-66.2959,50.3673,199.718,105.315,50.5149,200.796,-65.0817,71.0745,39.3294,108.543,71.5345,36.7795,-67.7185,-87.504,36.1924,106.404,-85.6333,35.7048
52,0,111.172,-68.6081,199.782,-70.011,-69.5132,198.927,-66.2808,50.3699,199.727,105.327,50.5069,200.791,-65.0717,71.0349,39.2755,108.518,71.5076,36.7307,-67.6817,-87.5129,36.1699,106.401,-85.6581,35.7627
53,0,111.196,-68.5911,199.772,-70.0253,-69.5012,198.908,-66.2937,50.3701,199.709,105.307,50.5012,200.804,-65.0969,71.0248,39.2624,108.541,71.5521,36.7428,-67.6792,-87.5263,36.2003,106.426,-85.6228,35.7152
54,0,111.194,-68.5992,199.759,-70.0092,-69.4906,198.928,-66.2987,50.3766,199.732,105.33,50.5029,200.794,-65.0689,71.002,39.2789,108.529,71.5319,36.7733,-67.6959,-87.5623,36.2128,106.391,-85.6751,35.7813
55,0,111.176,-68.6164,199.759,-70.0178,-69.4893,198.909,-66.2927,50.3517,199.722,105.321,50.5025,200.793,-65.0932,71.0476,39.3012,108.539,71.5503,36.7498,-67.6804,-87.5218,36.1836,106.413,-85.6583,35.7412
56,0,111.181,-68.5981,199.772,-70.0219,-69.5095,198.942,-66.2959,50.3705,199.727,105.319,50.5254,200.791,-65.1011,71.0312,39.2862,108.526,71.5251,36.711,-67.6951,-87.5211,36.1495,106.401,-85.6768,35.8003
57,0,111.197,-68.5962,199.766,-70.0118,-69.4926,198.908,-66.3015,50.3689,199.71,105.316,50.5153,200.787,-65.1157,71.0248,39.2891,108.513,71.5547,36.7779,-67.6971,-87.5119,36.1914,106.409,-85.5948,35.7018
58,0,111.197,-68.5967,199.771,-70.0219,-69.4915,198.914,-66.302,50.3409,199.743,105.311,50.4932,200.799,-65.0919,71.0005,39.2588,108.52,71.5425,36.7658,-67.6992,-87.5326,36.2012,106.393,-85.697,35.7937
59,0,111.193,-68.5731,199.749,-70.0214,-69.5192,198.897,-66.2861,50.3722,199.712,105.313,50.4988,200.8,-65.0789,71.0397,39.3031,108.501,71.5498,36.7911,-67.6936,-87.4975,36.1721,106.414,-85.6131,35.7414
60,0,111.193,-68.595,199.77,-70.0042,-69.4968,198.927,-66.2891,50.3458,199.731,105.325,50.4955,200.79,-65.0771,70.9881,39.2488,108.529,71.5415,36.7564,-67.6531,-87.5615,36.2085,106.407,-85.6388,35.722
61,0,111.191,-68.5813,199.762,-70.0077,-69.498,198.914,-66.2962,50.3675,199.721,105.335,50.5145,200.798,-65.0929,71.0163,39.2709,108.517,71.5046,36.7329,-67.6904,-87.5325,36.2298,106.426,-85.6201,35.726
62,0,111.197,-68.5795,199.762,-70.0186,-69.5053,198.925,-66.3063,50.3723,199.721,105.311,50.5328,200.795,-65.092,71.0202,39.2649,108.521,71.5414,36.7648,-67.6933,-87.5713,36.2196,106.414,-85.6186,35.7447
63,0,111.197,-68.6145,199.772,-70.0146,-69.5207,198.921,-66.2796,50.3728,199.727,105.335,50.4964,200.785,-65.0761,71.0464,39.3066,108.532,71.4803,36.6947,-67.7049,-87.5719,36.2309,106.414,-85.6457,35.7433
64,0,111.188,-68.5971,199.766,-70.0002,-69.4893,198.902,-66.2909,50.3623,199.738,105.315,50.5011,200.782,-65.0739,71.0497,39.303,108.515,71.5564,36.7903,-67.698,-87.5563,36.1921,106.412,-85.6058,35.7174
65,0,111.205,-68.5914,199.788,-69.9975,-69.4992,198.933,-66.3015,50.368,199.718,105.328,50.5267,200.777,-65.0731,71.0402,39.2896,108.507,71.4989,36.7094,-67.6792,-87.5509,36.2166,106.412,-85.6554,35.7273
66,0,111.187,-68.596,199.756,-70.0114,-69.498,198.925,-66.296,50.39,199.726,105.295,50.4922,200.794,-65.0768,71.0575,39.3144,108.529,71.5323,36.7411,-67.6969,-87.5175,36.158,106.402,-85.6439,35.7493
67,0,111.199,-68.5823,199.76,-70.0189,-69.5042,198.912,-66.2735,50.3688,199.714,105.327,50.5205,200.784,-65.0796,71.0209,39.2533,108.516,71.5048,36.7364,-67.6934,-87.4976,36.1524,106.412,-85.5952,35.69
68,0,111.187,-68.6061,199.766,-70.0162,-69.5123,198.908,-66.2829,50.3626,199.724,105.309,50.5222,200.794,-65.0751,71.0591,39.3064,108.516,71.5478,36.7702,-67.6776,-87.5421,36.1895,106.403,-85.6407,35.7274
69,0,111.203,-68.5763,199.766,-70.0097,-69.4953,198.887,-66.3016,50.3651,199.713,105.322,50.5016,200.782,-65.0791,71.0294,39.2977,108.534,71.5479,36.7621,-67.6887,-87.5615,36.2154,106.406,-85.631,35.7004
70,0,111.19,-68.5978,199.768,-70.0229,-69.5149,198.914,-66.2888,50.3667,199.727,105.319,50.5258,200.802,-65.0729,71.0391,39.2998,108.509,71.5481,36.7516,-67.683,-87.5479,36.2052,106.405,-85.688,35.7682
71,0,111.196,-68.5923,199.78,-70.0274,-69.4829,198.923,-66.3018,50.3759,199.731,105.32,50.5086,200.785,-65.0837,71.0561,39.3121,108.546,71.5476,36.7725,-67.691,-87.5448,36.1892,106.406,-85.6365,35.73
72,0,111.186,-68.5879,199.761,-70.0328,-69.4984,198.913,-66.2822,50.3724,199.723,105.317,50.5134,200.787,-65.0764,71.0932,39.3441,108.516,71.5433,36.7583,-67.7034,-87.5549,36.1892,106.412,-85.6589,35.7558
