Trajectories
100
,,benjamin:piedDroit1,,,benjamin:piedDroit2,,,benjamin:piedGauche1,,,benjamin:piedGauche2,,,benjamin:tibiaGauche2,,,benjamin:tibiaDroite2,,,benjamin:cuisseDroite2,,,benjamin:cuisseGauche2,,,benjamin:ventreGauche1,,,benjamin:torse2,,,benjamin:epauleDroite2,,,benjamin:epauleGauche2,,,benjamin:brasGauche2,,,benjamin:brasDroit2,,,benjamin:avantBrasDroit2,,,benjamin:avantBrasGauche2,,,benjamin:tete1,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
21,0,-651.019,955.922,85.8793,-771.684,1017.43,136.391,-710.85,1200.37,135.506,-589.647,1202.26,84.4602,-674.058,1245.97,510.321,-729.643,998.677,494.647,-671.108,1003.15,944.948,-666.065,1258.25,944.002,-643.291,1129.57,1154.63,-674.436,1131.91,1350.5,-753.918,912.032,1460.7,-779.59,1340.33,1456.39,-823.896,1402.81,1124.19,-809.494,823.958,1129.75,-739.428,906.661,906.354,-707.126,1401.99,910.118,-734.04,1131.51,1781.87
22,0,-650.964,955.921,85.8395,-771.631,1017.43,136.369,-710.821,1200.36,135.142,-589.596,1202.24,84.3749,-673.139,1246.04,510.431,-729.349,999.158,494.607,-670.302,1003.91,944.856,-666.631,1258.95,944.337,-643.384,1130.48,1154.58,-674.297,1132.89,1350.72,-752.813,912.329,1460.59,-781.104,1340.09,1456.47,-826.436,1404.2,1124.86,-807.074,822.477,1130.32,-738.009,907.505,906.159,-710.119,1405.4,910.173,-734.13,1131.89,1781.92
23,0,-650.914,955.924,85.7667,-771.598,1017.48,136.389,-710.638,1200.46,134.991,-589.565,1202.25,84.3198,-672.105,1246.2,510.614,-729.025,999.638,494.534,-669.667,1004.45,944.672,-667.159,1259.58,944.577,-643.499,1131.36,1154.54,-674.146,1133.86,1350.99,-751.539,912.35,1460.49,-782.645,1340.04,1456.75,-829.02,1405.68,1125.56,-805.368,822.482,1129.89,-736.707,908.262,905.867,-713.23,1409.03,910.99,-734.182,1132.19,1781.96
24,0,-650.893,955.918,85.6921,-771.506,1017.5,136.36,-710.516,1200.51,134.808,-589.525,1202.23,84.2362,-671.066,1246.42,510.822,-728.842,999.847,494.593,-668.957,1005.08,944.463,-667.694,1260.12,944.778,-643.613,1132.22,1154.47,-674.343,1134.56,1351,-749.772,912.466,1460.32,-784.178,1339.86,1457,-831.571,1407.07,1126.41,-803.074,822.706,1129.84,-735.372,909.107,905.769,-716.025,1412.57,911.746,-734.23,1132.42,1781.98
25,0,-650.928,955.661,85.2612,-771.435,1017.53,136.364,-710.395,1200.6,134.699,-589.506,1202.19,84.1698,-670.169,1246.72,511.1,-728.517,1000.13,494.601,-668.237,1005.67,944.292,-668.177,1260.73,945.024,-643.711,1133.08,1154.49,-674.548,1135.14,1350.87,-747.871,912.875,1460.36,-785.628,1339.89,1457.39,-834.115,1408.35,1127.03,-800.975,822.567,1129.74,-733.884,909.598,905.823,-718.941,1415.77,912.268,-734.312,1132.66,1782
26,0,-650.792,955.87,85.4846,-772.201,1018.13,136.016,-710.312,1200.73,134.679,-589.458,1202.2,84.1189,-669.696,1246.95,511.261,-728.151,1000.39,494.625,-667.688,1005.99,944.053,-668.724,1261.25,945.255,-643.839,1133.94,1154.51,-674.663,1135.83,1350.91,-746.686,912.939,1460.3,-787.303,1339.45,1457.39,-836.538,1409.59,1127.75,-798.69,821.521,1129.98,-732.098,910.304,905.854,-721.558,1419.17,913.331,-734.329,1132.86,1782.02
27,0,-650.731,955.862,85.3892,-772.15,1018.16,135.971,-710.262,1200.87,134.613,-589.458,1202.19,84.06,-668.956,1247.24,511.511,-727.802,1000.63,494.622,-666.869,1006.61,944.039,-669.27,1261.79,945.513,-643.97,1134.84,1154.62,-674.844,1136.37,1350.9,-745.704,912.483,1460.02,-788.887,1339.18,1457.6,-839.001,1410.89,1128.47,-796.548,823.483,1129.04,-730.659,910.667,905.461,-724.338,1421.84,913.703,-734.351,1133.04,1782.02
28,0,-650.695,955.869,85.3199,-772.112,1018.17,135.97,-710.207,1200.95,134.504,-589.479,1202.15,83.9903,-668.37,1247.57,511.54,-727.204,1001.07,494.538,-666.188,1007.03,943.875,-669.772,1262.21,945.649,-644.136,1135.76,1154.66,-675.032,1137,1350.95,-743.793,913.052,1459.88,-790.494,1339.08,1457.89,-841.347,1411.96,1129.21,-794.261,821.834,1129.46,-729.042,911.643,905.244,-727.032,1424.78,914.36,-734.348,1133.23,1782.04
29,0,-650.617,955.859,85.2532,-772.04,1018.18,135.955,-710.106,1201.07,134.399,-589.443,1202.15,83.938,-666.628,1248.24,512.821,-726.789,1001.35,494.522,-665.507,1007.43,943.704,-670.17,1262.68,945.803,-644.231,1136.71,1154.74,-675.251,1137.69,1350.99,-741.995,913.491,1459.94,-792.121,1338.92,1458.1,-843.766,1412.91,1129.71,-792.068,822.554,1129.04,-727.354,912.682,905.094,-729.672,1427.44,914.99,-734.308,1133.42,1782.01
30,0,-650.587,955.868,85.1957,-771.984,1018.21,135.951,-709.939,1201.21,134.377,-589.398,1202.12,83.8606,-666.13,1248.47,513.044,-726.335,1001.52,494.459,-664.866,1007.78,943.45,-670.668,1263.06,945.907,-644.314,1137.58,1154.74,-675.5,1138.28,1350.9,-741.068,913.332,1459.73,-793.779,1338.55,1458.18,-846.133,1413.78,1130.34,-789.76,823.417,1128.57,-726.362,913.276,904.875,-732.31,1429.87,915.463,-734.279,1133.58,1781.95
31,0,-650.572,955.846,85.0848,-771.25,1017.8,136.193,-709.799,1201.29,134.244,-589.339,1202.13,83.7862,-665.736,1248.62,513.159,-725.914,1001.7,494.32,-664.226,1008.11,943.263,-671.22,1263.42,946.052,-644.455,1138.37,1154.7,-675.742,1138.92,1350.9,-739.503,913.494,1459.55,-795.494,1338.33,1458.4,-848.419,1414.4,1130.86,-787.42,821.462,1129.13,-724.37,913.463,905.086,-734.693,1432.52,916.44,-734.167,1133.78,1781.95
32,0,-650.472,955.851,85.0402,-771.215,1017.77,136.183,-709.697,1201.39,134.152,-589.323,1202.13,83.7142,-665.332,1248.78,513.348,-725.505,1001.85,494.22,-663.617,1008.5,943.174,-671.878,1263.5,945.856,-644.595,1139.14,1154.69,-676.045,1139.39,1350.78,-737.742,913.962,1459.55,-797.183,1338.36,1458.67,-850.752,1415,1131.36,-784.932,822.754,1128.39,-723.145,914.809,904.808,-737.273,1434.75,917.127,-734.071,1133.97,1781.94
33,0,-650.386,955.868,85.0338,-771.145,1017.82,136.128,-709.577,1201.47,134.097,-589.301,1202.12,83.6528,-665.042,1248.91,513.455,-725.057,1002.15,494.114,-663.211,1008.72,942.963,-672.365,1263.91,946.083,-644.784,1139.94,1154.75,-676.331,1139.98,1350.77,-736.463,914.329,1459.53,-798.886,1337.87,1458.72,-853.026,1415.31,1131.73,-782.768,822.684,1128.43,-721.147,914.794,904.854,-739.429,1437.36,918.295,-733.979,1134.21,1781.96
34,0,-650.398,955.899,84.9407,-771.062,1017.83,136.096,-709.532,1201.5,134.046,-589.263,1202.13,83.642,-664.84,1249.01,513.561,-724.599,1002.38,494.059,-662.454,1009.36,942.948,-672.788,1264.45,946.464,-645.244,1140.37,1154.41,-676.685,1140.61,1350.77,-735.421,914.138,1459.43,-800.632,1337.58,1458.87,-855.307,1415.55,1132.21,-780.369,821.896,1128.48,-720.344,916.022,904.345,-742.035,1439.13,918.674,-733.847,1134.4,1781.94
35,0,-650.363,955.919,84.8644,-771.024,1017.86,136.11,-709.509,1201.61,134.02,-589.269,1202.14,83.601,-664.762,1249.09,513.591,-724.181,1002.63,494.016,-661.841,1009.68,942.789,-673.262,1264.8,946.567,-645.181,1141.48,1154.88,-677.027,1141.18,1350.73,-734.081,914.461,1459.38,-802.378,1337.2,1458.93,-857.631,1415.58,1132.37,-778.058,823.113,1128.15,-717.899,916.322,904.502,-744.257,1440.73,918.823,-733.702,1134.62,1781.87
36,0,-650.355,955.963,84.7822,-770.898,1017.84,136.071,-709.466,1201.68,133.992,-589.254,1202.14,83.5666,-664.733,1249.26,513.696,-723.764,1002.97,493.94,-661.218,1010.02,942.669,-673.741,1265.17,946.645,-645.257,1142.23,1155.01,-677.371,1141.7,1350.65,-732.5,914.816,1459.48,-804.113,1336.9,1459.05,-859.91,1415.46,1132.54,-775.865,821.009,1128.81,-717.462,917.273,904.093,-746.58,1442.19,919.205,-733.576,1134.93,1781.89
37,0,-650.324,955.974,84.7206,-770.79,1017.9,136.071,-709.429,1201.71,133.954,-589.24,1202.14,83.5578,-664.928,1249.4,513.7,-723.606,1003.21,493.908,-660.647,1010.34,942.512,-674.194,1265.55,946.676,-645.336,1142.96,1155.12,-677.699,1142.2,1350.58,-731.401,914.511,1459.25,-805.85,1336.63,1459.13,-862.138,1415.28,1132.89,-773.458,822.005,1128.46,-716.41,917.869,904.015,-748.54,1443.92,919.954,-733.468,1135.22,1781.86
38,0,-650.283,955.957,84.6603,-770.592,1017.65,135.713,-709.393,1201.74,133.929,-589.261,1202.17,83.5498,-665.098,1249.53,513.731,-723.296,1003.46,493.866,-660.113,1010.74,942.368,-674.715,1265.96,946.774,-645.463,1143.6,1155.15,-677.991,1142.68,1350.56,-730.203,914.631,1459.15,-807.574,1336.25,1459.18,-864.276,1414.85,1132.99,-771.207,822.877,1127.88,-714.362,918.2,904.211,-750.84,1444.73,920.094,-733.356,1135.57,1781.86
39,0,-650.261,955.97,84.6118,-770.48,1017.62,135.679,-709.383,1201.8,133.911,-589.251,1202.16,83.5562,-665.316,1249.71,513.745,-722.907,1003.83,493.862,-659.864,1010.97,942.141,-675.254,1266.4,946.911,-645.706,1144.42,1155.27,-678.282,1143.19,1350.6,-728.746,915.155,1459.48,-809.235,1335.9,1459.23,-866.361,1414.37,1133.13,-768.815,821.038,1128.81,-713.057,918.787,904.217,-752.691,1445.83,920.731,-733.23,1135.9,1781.84
40,0,-650.25,955.975,84.5421,-770.358,1017.62,135.692,-709.356,1201.86,133.907,-589.249,1202.16,83.5473,-665.58,1249.87,513.712,-722.624,1004.08,493.806,-659.132,1011.55,942.107,-675.874,1266.74,946.928,-646.133,1145.14,1155.3,-678.56,1143.75,1350.72,-727.597,915.519,1459.54,-810.87,1335.51,1459.19,-868.387,1413.8,1133.19,-766.703,822.607,1128.22,-712.363,919.114,904.063,-754.702,1446.23,920.846,-733.173,1136.26,1781.87
41,0,-650.204,955.974,84.536,-770.183,1017.63,135.681,-709.313,1201.84,133.873,-589.253,1202.16,83.5412,-665.872,1250.07,513.705,-722.455,1004.31,493.832,-658.495,1012.07,942.065,-676.455,1267.13,947.016,-646.431,1145.79,1155.42,-678.822,1144.31,1350.8,-726.394,915.801,1459.67,-812.464,1335.15,1459.15,-870.338,1413.04,1133.07,-763.412,819.495,1129.54,-711.053,919.252,903.818,-756.392,1446.62,921.187,-733.131,1136.58,1781.85
42,0,-650.177,955.91,84.4163,-770.047,1017.61,135.67,-709.284,1201.97,133.9,-589.223,1202.17,83.5228,-666.345,1250.42,513.727,-722.265,1004.54,493.78,-657.924,1012.56,941.979,-677.055,1267.5,947.118,-646.579,1146.37,1155.55,-679.114,1144.79,1350.87,-725.532,915.465,1459.47,-814.055,1334.86,1459.18,-872.232,1412.19,1132.89,-762.518,820.5,1129.32,-709.733,919.979,904.293,-758.101,1446.8,921.511,-733.106,1136.9,1781.85
43,0,-650.134,955.908,84.3792,-769.941,1017.75,135.986,-709.247,1202.04,133.876,-589.232,1202.18,83.512,-666.885,1250.72,513.781,-722.093,1004.79,493.773,-657.399,1013.13,941.894,-677.76,1267.84,947.197,-646.718,1146.87,1155.6,-679.435,1145.26,1350.94,-724.15,915.797,1459.7,-815.61,1334.46,1459.12,-874.047,1411.33,1132.81,-760.381,822.893,1128.41,-708.472,920.814,904.555,-759.866,1446.39,921.294,-733.123,1137.23,1781.84
44,0,-650.134,955.925,84.3517,-769.717,1017.76,136.011,-709.215,1202.2,133.897,-589.222,1202.2,83.5138,-667.546,1251.06,513.822,-721.977,1005.03,493.706,-657.027,1013.57,941.748,-678.456,1268.22,947.287,-646.814,1147.37,1155.64,-679.748,1145.67,1350.96,-723.145,915.869,1459.59,-817.109,1334.12,1459.04,-875.703,1410.31,1132.6,-758.486,821.677,1128.83,-708.075,921.005,904.433,-761.256,1446.07,921.207,-733.148,1137.5,1781.84
45,0,-650.114,955.949,84.3025,-769.642,1017.79,136.002,-709.203,1202.29,133.873,-589.228,1202.22,83.5406,-668.1,1251.49,513.965,-721.836,1005.35,493.654,-656.87,1013.87,941.611,-679.152,1268.66,947.441,-646.935,1147.91,1155.71,-680.07,1146.1,1350.98,-721.974,916.46,1459.85,-818.587,1333.73,1458.97,-877.317,1409.26,1132.37,-756.807,820.02,1129.49,-707.566,921.186,904.341,-762.787,1445.34,921.103,-733.224,1137.66,1781.8
46,0,-650.125,955.921,84.2885,-769.579,1017.88,136.006,-709.189,1202.45,133.902,-589.228,1202.21,83.5286,-668.692,1251.81,513.944,-721.746,1005.68,493.527,-656.417,1014.36,941.575,-679.906,1268.95,947.437,-647.09,1148.5,1155.78,-680.357,1146.57,1351.05,-721.027,916.454,1459.79,-819.984,1333.37,1458.85,-878.818,1408.18,1132.09,-754.782,821.089,1129,-706.518,921.621,904.601,-764.102,1444.32,920.782,-733.25,1137.82,1781.79
47,0,-650.111,955.945,84.3228,-769.5,1017.96,136.008,-709.221,1202.56,133.905,-589.242,1202.21,83.5235,-669.319,1252.2,513.999,-721.609,1006.05,493.431,-656.131,1014.74,941.485,-680.625,1269.37,947.575,-647.266,1149.04,1155.8,-680.653,1147.12,1351.15,-720.105,916.853,1460.02,-821.376,1332.97,1458.71,-880.249,1406.94,1131.73,-753.414,822.842,1128.55,-705.29,922.185,905.074,-765.454,1443.13,920.727,-733.317,1137.98,1781.77
48,0,-650.131,955.959,84.3287,-769.403,1018.18,136.244,-709.209,1202.72,133.943,-589.216,1202.24,83.5613,-670.002,1252.72,514.08,-721.581,1006.39,493.32,-655.816,1015.26,941.434,-681.409,1269.74,947.638,-647.476,1149.56,1155.85,-680.92,1147.52,1351.2,-719.123,917.216,1460.36,-822.719,1332.69,1458.63,-881.714,1405.71,1131.52,-751.637,820.49,1129.36,-704.216,922.479,905.201,-766.684,1441.57,920.284,-733.415,1138.06,1781.73
